bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-001_task-MGT_run-01_bold	0.0005301106194690265	0.010362787787610619	1	53.77323682658539	1.0060559919290464	1.1510849928603106	0.5275900867202334	534.4027099609375	0.08401973880563066	0	0.0	2.872051631403236	2.835035	3.11882	2.662299894209707	0.00406669	-0.016262048855423927	0.05073236674070358	452	106	106	64	2.073956000084664	1.0	2.0	2.0	2.4000000953674316	21.312467607035806	163.0777587890625	846.5947875976562	376.678466796875	462054.0	252.40484771728515	3496.834472656241	1319.347900390625	1.2222170401560692	4137.9775390625	10249.0751953125	9379.1435546875	162033.0	4575.34462890625	18977.492578125	4522.33056640625	23.755247116088867
sub-001_task-MGT_run-02_bold	0.0006582079646017699	0.012986453230088497	1	53.26859679292686	0.9905544382705107	1.1713921966962315	0.5303609172539933	511.7823181152344	0.08315133959588303	3	0.6637168141592921	2.8979574644453336	2.851785	3.1578	2.6842873933360023	0.00593476	-0.014450769871473312	0.05336141586303711	452	106	106	64	2.0517064727565772	1.0	2.0	2.0	2.4000000953674316	20.325146903699448	166.62667846679688	865.7857666015625	380.0286865234375	461016.0	254.48128128051758	3584.3134765625	1352.7301025390625	1.300917941546479	4082.83251953125	10130.4375	9245.86328125	162851.0	4481.63916015625	18850.4921875	4506.412109375	21.82906150817871
sub-001_task-MGT_run-03_bold	0.0005254083885209712	0.010509854944812363	0	53.486577743119476	1.0069349465265491	1.0316673607300888	0.5307600073687795	508.6235046386719	0.07741877462354017	4	0.8830022075055187	2.8792496870464874	2.83769	3.14438	2.655679061139462	0.00574028	-0.014026959426701069	0.05457908287644386	453	106	106	64	2.031708345660381	1.0	2.0	2.0	2.4000000953674316	19.492286368618142	161.95077514648438	873.8772583007812	379.3639831542969	460545.0	259.212060546875	3665.2736328124984	1381.022705078125	1.3356179444146505	4066.002197265625	10120.3837890625	9210.6083984375	163002.0	4480.0544921875	18958.242480468747	4533.41650390625	23.844520568847656
sub-001_task-MGT_run-04_bold	0.00042926829268292684	0.010192315055432373	2	53.93129794635558	1.0098589078666664	1.011645676355555	0.5310275903097622	499.2889099121094	0.08213146310651705	7	1.5521064301552105	2.875000798256167	2.839745	3.13702	2.6482373947685005	0.00539303	-0.013350049033761024	0.055818796157836914	451	106	106	64	2.0115541310867076	1.0	2.0	2.0	2.4000000953674316	19.847731498001618	161.6409912109375	877.6871948242188	379.7763671875	460404.0	260.0936218261719	3700.630297851561	1392.1710205078125	1.3641807019742487	4048.74267578125	10067.6630859375	9145.6787109375	163170.0	4438.650244140625	18938.253515624998	4546.5595703125	24.200889587402344
sub-002_task-MGT_run-01_bold	0.0006991390728476822	0.01431741792494481	0	56.007790109822984	1.0159799524336284	1.9297169234955769	0.5458891818635917	382.2090148925781	0.1060378870550053	12	2.6490066225165565	2.8854378309288986	2.849715	3.131415	2.675183492786695	0.00348916	-0.016910351812839508	0.055905282497406006	453	106	106	64	2.2950458550926798	1.0	2.0	2.0	2.3999998569488525	12.144003741540264	221.28915405273438	1157.1201171875	431.1283874511719	489173.0	267.51405639648436	5630.228710937488	1863.6131591796875	0.5805500623091495	3802.505859375	9662.5986328125	9058.859375	138652.0	4258.405346679688	16981.226953125	3947.122314453125	22.812572479248047
sub-002_task-MGT_run-02_bold	0.0006230022075055188	0.012913203708609272	0	56.04378452977877	1.0200800559513288	1.0040164266592917	0.5464159364100898	372.3583679199219	0.09528497245355859	14	3.0905077262693155	2.870710886089159	2.84178	3.115065	2.655287658267478	0.00838717	-0.016033457592129707	0.05408164858818054	453	106	106	64	2.287877924616226	1.0	2.0	2.0	2.3999998569488525	12.13554861488403	228.8096160888672	1162.6690673828125	436.7806091308594	489149.0	269.1450622558594	5608.293652343748	1855.4962158203125	0.5810173744596634	3810.73583984375	9700.2958984375	9079.439453125	138514.0	4282.355419921875	17090.395703125007	3968.48388671875	23.616317749023438
sub-002_task-MGT_run-03_bold	0.0007131485587583149	0.014420152993348114	2	56.39085031299998	1.0263955292444449	1.0081235802888886	0.5479463724937956	363.2091369628906	0.10070803670523427	26	5.764966740576496	2.897845608769923	2.86678	3.14839	2.67836682630977	0.00641681	-0.016447214409708977	0.05373431742191315	451	106	106	64	2.2694097751431572	1.0	2.0	2.0	2.3999998569488525	11.562816837398676	238.6546630859375	1193.7821044921875	445.400390625	489178.0	270.2364105224609	5712.058374023436	1886.90283203125	0.6378336599935119	3873.666015625	9768.7177734375	9134.744140625	138699.0	4292.36103515625	17224.743164062504	4025.1484375	23.087387084960938
sub-002_task-MGT_run-04_bold	0.0012356953642384107	0.018358996688741722	0	56.69649081090713	1.019478789823009	1.021038826061946	0.5488726014292891	363.92333984375	0.10747236143737758	29	6.401766004415011	2.93580366499214	2.895315	3.200175	2.711920994976421	0.00883599	-0.015919266268610954	0.0522337481379509	453	106	106	64	2.25639899752801	1.0	2.0	2.0	2.3999998569488525	11.287161656094371	240.75445556640625	1202.18896484375	447.87152099609375	489363.0	270.4988128662109	5667.732714843749	1870.6737060546875	0.6675856661106718	3894.2392578125	9794.2138671875	9150.671875	138482.0	4300.259619140626	17339.645605468744	4055.4169921875	21.018320083618164
sub-003_task-MGT_run-01_bold	0.0002855629139072848	0.00752803885209713	0	51.55592985893804	1.0171757325663722	2.1122450303539857	0.5031920902089304	555.945068359375	0.0755149693105266	5	1.1037527593818985	2.9344124653890744	2.925635	3.264565	2.613037396167223	0.00425942	-0.0025092698633670807	0.05758576840162277	453	106	106	64	2.21615715927516	1.0	2.0	2.0	2.4000000953674316	26.899641965887177	187.82156372070312	859.1268920898438	392.89788818359375	497683.0	257.2948944091797	3322.616186523436	1336.24267578125	1.1434904219146116	4245.0361328125	10641.7109375	9957.9169921875	131367.0	4578.5185546875	18922.32421875	4493.30908203125	26.124216079711914
sub-003_task-MGT_run-02_bold	0.000680728476821192	0.008133006732891834	0	52.08482021544246	1.0381213687831856	1.2722427360176993	0.5045303037937844	549.4581909179688	0.08970905129852158	11	2.4282560706401766	2.9370546875024632	2.934285	3.255625	2.6212540625073886	0.00687129	-0.002529517747461796	0.058260638266801834	453	106	106	64	2.2143410642880346	1.0	2.0	2.0	2.4000000953674316	26.175576700124488	187.36807250976562	871.757568359375	394.78436279296875	497648.0	260.5099807739258	3389.028930664057	1360.3380126953125	1.0865591677529478	4251.255859375	10622.5029296875	9943.50390625	131550.0	4557.388891601562	18923.55312499999	4490.4853515625	25.618919372558594
